AUDIO_BASELINE rate=22050 buffers=48 samples=929071 pcmBytes=1858142 floatBytes=3716284 synthesisMs=62.148
FootGrass samples=2205 mean=-0.0126259 peak=0.24046 rms=0.07641 seam=0.054238 hash=-882882794 low=0.000436251 high=0.000016249
FootStone samples=1543 mean=0.0011693 peak=0.53566 rms=0.20134 seam=0.386336 hash=-728456634 low=0.002063641 high=0.000447746
FootWood samples=1764 mean=-0.0037461 peak=0.56659 rms=0.20164 seam=0.228654 hash=682286179 low=0.004329018 high=0.000151957
FootSnow samples=2866 mean=0.0016451 peak=0.18921 rms=0.05638 seam=0.032782 hash=351755693 low=0.000181546 high=0.000004294
FootWater samples=3528 mean=-0.0014077 peak=0.38797 rms=0.11821 seam=0.130244 hash=1916446850 low=0.000403344 high=0.000034481
HitSoft samples=1323 mean=-0.0110889 peak=0.32327 rms=0.09706 seam=0.193321 hash=-1588398044 low=0.000827609 high=0.000049330
HitStone samples=1102 mean=-0.0109165 peak=0.79109 rms=0.27525 seam=0.347424 hash=43516081 low=0.003593334 high=0.001403589
HitWood samples=1323 mean=0.0010379 peak=0.74555 rms=0.24876 seam=0.227526 hash=-760204008 low=0.009153030 high=0.000264858
Break samples=4851 mean=0.0059023 peak=0.92894 rms=0.25592 seam=0.377824 hash=-468352317 low=0.002080603 high=0.000164520
Place samples=1984 mean=0.0090720 peak=0.74319 rms=0.21827 seam=0.245497 hash=669743839 low=0.003850683 high=0.000238495
Click samples=771 mean=0.0013542 peak=0.49533 rms=0.18619 seam=0.056071 hash=1768525176 low=0.000000000 high=0.000000000
Eat samples=11025 mean=0.0011417 peak=0.29796 rms=0.06101 seam=0.021167 hash=1254869480 low=0.000050939 high=0.000003606
Drink samples=13230 mean=0.0012111 peak=0.63792 rms=0.15961 seam=0.000000 hash=-2141930740 low=0.000986827 high=0.000000001
Boil samples=11025 mean=-0.0003188 peak=0.29951 rms=0.07193 seam=0.017942 hash=653202286 low=0.000067438 high=0.000004438
Hit samples=1984 mean=0.0161433 peak=1.08486 rms=0.32135 seam=0.080267 hash=-1347428417 low=0.011618590 high=0.000191083
Hurt samples=4851 mean=0.0038248 peak=0.74684 rms=0.26074 seam=0.048756 hash=1838828434 low=0.002466746 high=0.000001436
Swing samples=3969 mean=-0.0037688 peak=0.36897 rms=0.10780 seam=0.000001 hash=-325644699 low=0.000272885 high=0.000090012
Craft samples=2646 mean=0.0020299 peak=0.66178 rms=0.20875 seam=0.045387 hash=-732188993 low=0.004267762 high=0.000000027
Equip samples=3087 mean=-0.0015819 peak=0.34133 rms=0.09591 seam=0.008877 hash=873416389 low=0.000317142 high=0.000038602
ToolBreak samples=4410 mean=0.0004915 peak=0.98242 rms=0.21705 seam=0.192190 hash=1902358788 low=0.000462405 high=0.000085157
Cough samples=7717 mean=-0.0002288 peak=0.40364 rms=0.07401 seam=0.040885 hash=-236494624 low=0.000064284 high=0.000005956
Sleep samples=32193 mean=0.0002396 peak=0.45064 rms=0.12532 seam=0.000000 hash=-212577820 low=0.001922140 high=0.000000001
Discover samples=33957 mean=0.0001991 peak=0.49964 rms=0.14077 seam=0.000000 hash=1634386588 low=0.000561137 high=0.000000013
Quest samples=30870 mean=0.0002165 peak=0.44934 rms=0.12800 seam=0.000000 hash=1829473323 low=0.000581647 high=0.000000001
Thunder samples=52920 mean=-0.0008293 peak=0.32754 rms=0.03824 seam=0.024406 hash=-613025945 low=0.000000661 high=0.000000005
Howl samples=41895 mean=-0.0000000 peak=0.48439 rms=0.22237 seam=0.000000 hash=-916231635 low=0.003976944 high=0.000000000
Growl samples=19845 mean=-0.0009032 peak=0.52699 rms=0.08391 seam=0.000002 hash=-1463818844 low=0.000243070 high=0.000003521
Chirp samples=9922 mean=-0.0039361 peak=0.29992 rms=0.11684 seam=0.000000 hash=-1762889031 low=0.000096174 high=0.000036495
